filename, language, XML, JSON, Markdown, PHP, Batch, CSS, JavaScript, YAML, Properties, HTML, comment, blank, total
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\.travis.yml, YAML, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 8, 34
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\README.md, Markdown, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 13, 31
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\build.xml, XML, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 51
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\composer.json, JSON, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 43
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\examples\example-01.php, PHP, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 8, 5, 24
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\phive.xml, XML, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\phpunit.xml, XML, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\ManifestDocumentMapper.php, PHP, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 49, 23, 194
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\ManifestLoader.php, PHP, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 29, 5, 67
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\ManifestSerializer.php, PHP, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 12, 33, 164
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\exceptions\Exception.php, PHP, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 8, 3, 15
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\exceptions\InvalidApplicationNameException.php, PHP, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 8, 3, 17
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\exceptions\InvalidEmailException.php, PHP, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 8, 3, 15
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\exceptions\InvalidUrlException.php, PHP, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 8, 3, 15
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\exceptions\ManifestDocumentException.php, PHP, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\exceptions\ManifestDocumentMapperException.php, PHP, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\exceptions\ManifestElementException.php, PHP, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\exceptions\ManifestLoaderException.php, PHP, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\values\Application.php, PHP, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 11, 3, 21
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\values\ApplicationName.php, PHP, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 26, 8, 66
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\values\Author.php, PHP, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 27, 8, 58
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\values\AuthorCollection.php, PHP, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 20, 7, 44
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\values\AuthorCollectionIterator.php, PHP, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 23, 10, 57
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\values\BundledComponent.php, PHP, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 24, 8, 49
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\values\BundledComponentCollection.php, PHP, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 20, 7, 44
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\values\BundledComponentCollectionIterator.php, PHP, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 23, 10, 57
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\values\CopyrightInformation.php, PHP, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 20, 7, 43
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\values\Email.php, PHP, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 24, 7, 48
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\values\Extension.php, PHP, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 38, 11, 76
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\values\Library.php, PHP, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 11, 3, 21
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\values\License.php, PHP, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 20, 7, 43
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\values\Manifest.php, PHP, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 60, 23, 139
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\values\PhpExtensionRequirement.php, PHP, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 17, 5, 33
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\values\PhpVersionRequirement.php, PHP, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 14, 6, 32
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\values\Requirement.php, PHP, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 8, 3, 15
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\values\RequirementCollection.php, PHP, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 20, 7, 44
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\values\RequirementCollectionIterator.php, PHP, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 23, 10, 57
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\values\Type.php, PHP, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 29, 9, 61
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\values\Url.php, PHP, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 24, 7, 48
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\xml\AuthorElement.php, PHP, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 8, 4, 22
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\xml\AuthorElementCollection.php, PHP, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 8, 3, 20
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\xml\BundlesElement.php, PHP, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 8, 3, 20
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\xml\ComponentElement.php, PHP, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 8, 4, 22
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\xml\ComponentElementCollection.php, PHP, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 8, 3, 20
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\xml\ContainsElement.php, PHP, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 8, 6, 32
